#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,http://ds.iris.edu
AC|BCI|42.3666|20.067499|500.0|Bajram Curri, Albania|2009-12-22T00:00:00|2599-12-31T23:59:59
AC|KBN|40.6236|20.787399|800.0|Korce, Albania|2009-12-22T00:00:00|2599-12-31T23:59:59
AC|LSK|40.149899|20.5987|960.0|LSK|2010-01-01T00:00:00|2599-12-31T23:59:59
AC|PHP|41.6847|20.4408|670.0|Peshkopi, Albania|2009-12-22T00:00:00|2599-12-31T23:59:59
AC|PUK|42.042599|19.892599|900.0|Puke, Albania|2009-12-22T00:00:00|2599-12-31T23:59:59
AC|SRN|39.880001|20.0005|20.0|Sarande, Albania|2010-01-01T00:00:00|2599-12-31T23:59:59
AC|VLO|40.468601|19.495501|80.0|Vlore, Albania|2009-12-22T00:00:00|2599-12-31T23:59:59
AE|113A|32.768299|-113.766701|118.0|Mohawk Valley, Roll, AZ, USA|2009-01-28T00:00:00|2599-12-31T23:59:59
AE|319A|31.3757|-109.280899|1187.0|Douglas, AZ, USA|2011-12-01T00:00:00|2599-12-31T23:59:59
AE|BABIT|35.745548|-112.422218|1693.6|Valle/Cataract Creek|2017-10-27T00:00:00|2599-12-31T23:59:59
AE|BARN|35.27668|-111.73571|2254.0|Flagstaff|2017-10-27T00:00:00|2599-12-31T23:59:59
AE|HANNA|33.63636|-109.32029|2796.0|Alpine/Hannagan Meadow|2017-10-27T00:00:00|2599-12-31T23:59:59
AE|PRCT|35.055786|-112.710289|1410.0|Prescott|2017-10-27T00:00:00|2599-12-31T23:59:59
AE|TONTO|33.649147|-111.007675|660.6|Roosevelt/Tonto Basin|2017-10-27T00:00:00|2599-12-31T23:59:59
AE|U15A|36.428001|-112.291496|2489.0|North Rim, AZ, USA|2011-12-01T00:00:00|2599-12-31T23:59:59
AE|W13A|35.097382|-113.894318|2113.0|Hualapai Mountain Park, Kingman, AZ, USA|2011-12-01T00:00:00|2599-12-31T23:59:59
AE|X16A|34.417801|-111.441101|1759.4|Lo Mia Camp, Pine, AZ, USA|2009-02-04T00:00:00|2599-12-31T23:59:59
AE|X18A|34.529301|-109.950104|1751.0|Snowflake, AZ, USA|2011-12-01T00:00:00|2599-12-31T23:59:59
AE|Y14A|33.938301|-113.004799|730.7|Wickenburg, AZ, USA|2011-12-01T00:00:00|2599-12-31T23:59:59
AF|ALKP|-29.941839|22.24667|1065.0|Alkantpan, Northen Cape, South Africa|2018-09-07T00:00:00|2599-12-31T23:59:59
AF|GRHM|-33.276688|26.376724|610.0|Grahamstown, Eastern Cape, South Africa|2016-06-20T00:00:00|2599-12-31T23:59:59
AF|WIN|-22.5667|17.1|1728.0|Windhoek, Namibia|2004-09-01T00:00:00|2599-12-31T23:59:59
AG|CCAR|33.917|-91.772|72.0|Cane Creek, AR|2010-02-24T00:00:00|2599-12-31T23:59:59
AG|FCAR|35.89|-92.124|190.0|Ozark Folk Center,AR|2010-02-16T00:00:00|2599-12-31T23:59:59
AG|HHAR|36.282|-93.94|421.0|Hobbs,AR|2010-03-03T00:00:00|2599-12-31T23:59:59
AG|LCAR|36.07|-91.154|103.0|Lake Charles,AR|2010-02-10T00:00:00|2599-12-31T23:59:59
AG|U40A|36.3563|-92.8535|374.0|Yellville, AR|2016-06-21T17:00:00|2599-12-31T23:59:59
AG|WHAR|35.29|-92.289|184.0|Woolly Hollow State Park,AR|2010-02-15T00:00:00|2599-12-31T23:59:59
AG|WLAR|33.688|-93.112|77.0|White Oak Lake,AR|2010-02-23T00:00:00|2599-12-31T23:59:59
AG|X40A|34.4873|-92.8342|158.0|Basin Creek Farm, Marlvern, AR|2016-06-22T17:00:00|2599-12-31T23:59:59
AG|Z41A|33.2577|-92.803|62.0|Richland Creek Farm, El Dorado, AR|2016-08-10T17:00:00|2599-12-31T23:59:59
AI|BELA|-77.875|-34.6269|262.0|BELGRANO II Permanent Argentinean Antarctic Base|2009-01-16T00:00:00|2599-12-31T23:59:59
AI|ESPZ|-63.398102|-56.996399|31.0|ESPERANZA Permanent Argentinean Antarctic Base|2005-01-26T00:00:00|2599-12-31T23:59:59
AI|JUBA|-62.237301|-58.662701|16.0|Carlini Permanent Argentinean Antarctic Base|2002-03-05T00:00:00|2599-12-31T23:59:59
AI|ORCD|-60.738098|-44.736099|20.0|Orcadas Permanent Argentinean Antarctic Base|1997-03-01T00:00:00|2599-12-31T23:59:59
AI|SMAI|-68.130203|-67.105904|9.0|San Martin Permanent Argentinean Antarctic Base|2007-02-07T00:00:00|2599-12-31T23:59:59
AK|GREN|63.9738|-145.6949|414.0|Z|2020-09-22T00:00:00|2599-12-31T23:59:59
AK|GRES|63.9451|-145.7281|445.0|Z|2020-09-29T00:00:00|2599-12-31T23:59:59
AK|WAT1|62.829498|-148.550903|722.0|Susitna Watana 1, AK, USA|2012-08-12T00:00:00|2599-12-31T23:59:59
AU|ARPS|-36.769901|141.838303|250.0|Mt Arapiles, VIC|2006-01-23T00:00:00|2599-12-31T23:59:59
AU|AXCOZ|-22.9608|145.251099|226.0|Aramac airstrip, QLD|2018-11-30T00:00:00|2599-12-31T23:59:59
AU|BCON|-30.33585|117.7649|386.0|Beacon, Western Australia|2020-05-28T00:00:00|2599-12-31T23:59:59
AU|BN2S|-27.3293|153.047699|8.0|Brisbande 2 Soft JUMP, Queensland|2009-01-01T00:00:00|2599-12-31T23:59:59
AU|BOXOZ|-16.0546|136.302094|44.0|Borrolooa, NT|2018-07-19T00:00:00|2599-12-31T23:59:59
AU|BRAT|-37.548901|143.932999|503.0|Ballarat JUMP, Victoria|2013-03-22T00:00:00|2599-12-31T23:59:59
AU|BW1H|-20.004499|148.236099|63.0|Bowen Hard JUMP, Queensland|2012-08-01T00:00:00|2599-12-31T23:59:59
AU|BW2S|-19.9984|148.223206|7.0|BOWEN SOFT JUMP QUEENSLAND|2012-08-02T00:00:00|2599-12-31T23:59:59
AU|CN1H|-16.910999|145.710602|149.0|Cairns 1 Hard JUMP, Queensland|2012-01-01T00:00:00|2599-12-31T23:59:59
AU|CN2S|-17.0215|145.723801|56.0|Cairns 2 Soft JUMP, Queensland|2012-01-01T00:00:00|2599-12-31T23:59:59
AU|CNB|-35.314999|149.363297|853.0|Canberra, Kowen Forest|2020-06-24T01:00:00|2599-12-31T23:59:59
AU|CORO|-41.452202|147.145004|0.0|Coronation Park JUMP, Tasmania|2009-11-20T00:00:00|2599-12-31T23:59:59
AU|CTA|-20.0876|146.25|426.0|Charters Towers, Queensland|1994-10-20T00:00:00|2599-12-31T23:59:59
AU|CVQOZ|-24.4457|114.078003|37.0|Cooralya Station, Carnarvon, WA|2019-03-13T00:00:00|2599-12-31T23:59:59
AU|DLN|-34.723301|149.178894|565.0|Dalton JUMP, New South Wales|2013-02-01T00:00:00|2599-12-31T23:59:59
AU|DNDOZ|-32.460899|123.867996|153.0|Balladonia, WA|2019-02-28T00:00:00|2599-12-31T23:59:59
AU|DPH|-12.4667|130.8423|45.0|Darwin Parliament House JUMP, Northern Territory|2009-01-01T00:00:00|2599-12-31T23:59:59
AU|DRS|-12.4313|130.899307|44.0|Darwin Rock Store JUMP, Northern Territory|2009-01-01T00:00:00|2599-12-31T23:59:59
AU|FORT|-30.779|128.059|165.0|Forrest, WA|1994-01-01T00:00:00|2599-12-31T23:59:59
AU|GC2F|-27.912201|153.395798|12.0|Gold Coast 2 Fill JUMP, Queensland|2009-01-01T00:00:00|2599-12-31T23:59:59
AU|GEXS|-38.200802|144.289993|10.0|Deakin UNI JUMP, GEELONG Victoria|2013-03-26T00:00:00|2599-12-31T23:59:59
AU|GIRL|-22.643|114.234001|111.0|Giralia, WA|1995-09-04T00:00:00|2599-12-31T23:59:59
AU|GLAD|-40.982498|148.009995|0.0|Gladstone JUMP, Tasmania|2009-11-20T00:00:00|2599-12-31T23:59:59
AU|GVL|-37.621399|144.899002|185.0|Greenvale Resevoir, JUMP Victoria|2013-03-05T00:00:00|2599-12-31T23:59:59
